id,order_id,product_id,quantity,unit_price
1,52,9,1,80
2,267,4,4,200
3,144,10,5,250
4,277,1,2,300
5,159,10,2,300
6,129,10,1,250
7,217,7,5,50
8,130,10,4,50
9,265,1,5,300
10,78,3,2,50
11,209,3,5,300
12,279,1,2,800
13,93,10,3,100
14,220,5,2,50
15,27,3,3,50
16,297,6,5,300
17,255,6,5,250
18,179,2,2,250
19,252,6,3,150
20,61,8,1,80
21,98,9,3,50
22,173,4,1,1200
23,135,3,2,1200
24,7,9,3,200
25,154,8,5,50
26,282,5,4,50
27,35,3,5,150
28,47,6,3,800
29,135,5,1,200
30,132,5,4,50
31,38,2,2,100
32,231,5,2,1200
33,220,3,5,50
34,48,6,5,300
35,227,10,2,100
36,235,8,2,800
37,153,4,1,50
38,68,8,3,300
39,264,7,1,250
40,110,8,5,250
41,30,7,5,800
42,23,3,5,100
43,196,8,5,800
44,288,3,4,200
45,36,4,3,300
46,258,8,5,800
47,298,9,3,150
48,183,6,3,80
49,203,8,5,200
50,88,2,5,200
51,234,4,1,150
52,188,1,4,800
53,169,4,5,1200
54,55,4,4,800
55,14,4,5,100
56,111,4,2,50
57,193,10,5,100
58,133,2,3,200
59,90,5,4,1200
60,224,3,1,80
61,68,5,2,800
62,278,5,1,50
63,133,5,5,300
64,61,2,5,50
65,97,2,5,150
66,91,2,3,250
67,32,2,1,50
68,117,4,4,80
69,151,1,3,1200
70,203,10,1,200
71,237,10,1,80
72,181,6,4,300
73,241,9,5,50
74,54,7,1,300
75,298,6,4,300
76,205,1,5,80
77,37,3,4,50
78,237,4,1,80
79,255,10,4,250
80,264,1,2,150
81,299,2,2,100
82,199,3,2,200
83,195,4,3,250
84,95,2,3,50
85,16,7,2,50
86,130,6,5,80
87,71,10,3,80
88,49,8,5,100
89,263,10,5,800
90,7,4,2,200
91,171,5,5,300
92,99,3,5,300
93,9,6,5,100
94,295,7,5,150
95,159,5,4,100
96,107,2,2,50
97,63,2,5,50
98,21,7,5,1200
99,217,10,1,50
100,77,1,2,250
101,147,8,4,80
102,117,4,3,250
103,161,10,1,100
104,149,2,2,80
105,212,5,3,300
106,32,8,1,80
107,261,8,5,800
108,226,10,5,250
109,237,5,1,800
110,250,7,4,50
111,265,4,4,100
112,261,7,3,250
113,67,8,4,80
114,165,5,1,200
115,204,9,1,150
116,133,9,4,800
117,91,1,2,200
118,29,5,5,1200
119,229,6,4,200
120,75,5,1,1200
121,202,7,5,100
122,228,6,4,1200
123,299,9,3,100
124,220,8,3,100
125,257,7,3,150
126,150,9,5,1200
127,36,2,3,1200
128,21,4,2,150
129,18,3,1,800
130,239,1,4,150
131,193,10,4,1200
132,284,9,4,100
133,6,6,1,80
134,81,3,3,300
135,259,9,4,50
136,52,4,1,1200
137,173,4,5,100
138,51,8,5,100
139,63,1,4,100
140,169,2,3,300
141,13,3,1,80
142,34,9,4,50
143,271,8,3,200
144,52,4,3,300
145,145,1,4,1200
146,76,1,3,800
147,46,10,2,50
148,215,8,1,150
149,260,2,4,1200
150,235,4,2,100
151,198,3,2,200
152,291,7,2,150
153,127,6,2,50
154,80,1,1,300
155,10,9,1,150
156,38,4,5,800
157,243,6,2,200
158,227,9,4,800
159,147,7,2,200
160,112,1,2,50
161,13,7,4,50
162,160,2,3,300
163,141,6,4,150
164,87,4,5,250
165,74,8,4,1200
166,192,6,3,50
167,269,7,2,80
168,249,6,5,1200
169,295,7,2,50
170,26,10,4,200
171,136,10,3,200
172,141,3,2,1200
173,179,9,5,250
174,80,2,1,200
175,50,3,5,300
176,17,1,3,100
177,14,4,2,100
178,101,8,5,50
179,75,2,5,150
180,122,1,4,50
181,61,5,2,1200
182,113,1,1,200
183,281,8,1,150
184,49,4,1,300
185,49,3,1,1200
186,210,6,2,250
187,212,3,3,150
188,3,6,4,100
189,89,4,3,80
190,239,5,2,80
191,61,7,3,250
192,208,5,5,100
193,227,7,1,50
194,120,2,4,800
195,63,10,1,1200
196,299,5,1,300
197,95,9,4,150
198,235,1,1,300
199,205,10,5,150
200,32,5,1,50
201,278,6,3,50
202,275,2,4,100
203,233,8,4,150
204,244,6,3,1200
205,4,7,4,80
206,169,6,4,50
207,286,3,1,250
208,174,10,5,100
209,82,7,4,100
210,140,1,3,200
211,202,10,3,100
212,58,4,4,150
213,143,7,2,50
214,24,6,5,200
215,278,1,1,250
216,108,5,1,250
217,12,1,1,50
218,246,7,2,100
219,162,10,5,800
220,262,8,4,300
221,140,4,1,100
222,244,4,4,1200
223,274,8,1,100
224,142,2,5,80
225,223,4,4,800
226,6,10,5,1200
227,138,3,5,100
228,159,9,1,50
229,153,6,2,80
230,25,3,1,1200
231,165,4,1,50
232,23,4,2,1200
233,100,7,4,50
234,54,9,3,200
235,108,5,4,250
236,164,2,3,250
237,8,10,1,50
238,23,10,1,800
239,36,9,4,80
240,60,9,3,100
241,70,3,4,50
242,24,3,2,300
243,211,7,4,300
244,171,2,2,50
245,115,7,1,200
246,293,6,2,50
247,5,9,5,1200
248,298,4,1,50
249,86,10,5,300
250,281,9,3,300
251,109,10,3,800
252,178,10,4,80
253,23,7,1,150
254,294,1,5,1200
255,296,4,2,800
256,189,2,4,250
257,6,7,1,100
258,38,10,4,250
259,10,4,3,50
260,103,8,2,50
261,139,3,1,250
262,128,3,3,800
263,282,3,4,300
264,226,3,3,250
265,288,7,4,150
266,237,1,3,800
267,222,1,1,1200
268,45,9,4,50
269,181,5,2,80
270,74,3,1,300
271,247,8,2,1200
272,231,1,2,50
273,268,10,4,800
274,72,10,4,300
275,210,10,4,800
276,111,10,5,200
277,148,3,4,50
278,9,1,3,100
279,99,4,3,300
280,242,2,2,300
281,207,8,1,100
282,245,3,3,300
283,285,3,1,80
284,264,9,4,100
285,173,5,2,80
286,4,9,2,150
287,221,9,5,80
288,219,6,4,100
289,189,6,5,80
290,254,3,3,1200
291,141,1,2,100
292,119,6,4,80
293,49,5,3,200
294,157,2,5,150
295,211,3,4,100
296,279,7,5,200
297,227,8,3,200
298,271,9,2,800
299,245,4,5,50
300,250,6,1,100
301,183,8,2,50
302,137,3,3,150
303,237,9,3,200
304,16,9,4,80
305,187,9,5,200
306,124,10,1,200
307,171,5,2,80
308,7,3,1,80
309,5,2,5,250
310,123,10,4,800
311,224,1,1,250
312,89,2,3,300
313,169,3,3,1200
314,109,10,4,200
315,56,10,4,200
316,68,3,2,200
317,187,1,2,800
318,20,7,2,300
319,295,4,4,250
320,57,10,1,50
321,202,8,1,100
322,218,1,1,50
323,47,4,4,80
324,174,2,5,80
325,28,10,3,50
326,67,6,3,80
327,72,5,4,300
328,155,2,2,1200
329,31,9,4,200
330,159,9,4,300
331,87,10,4,300
332,131,5,3,300
333,169,1,1,100
334,290,10,4,800
335,77,2,2,80
336,267,10,5,50
337,9,8,3,250
338,68,5,2,250
339,205,1,5,800
340,195,2,1,200
341,166,1,5,300
342,35,4,1,250
343,66,10,3,200
344,51,3,4,100
345,260,1,1,1200
346,56,7,1,800
347,230,4,5,300
348,217,1,1,1200
349,127,6,5,100
350,189,2,3,200
351,69,10,4,1200
352,31,5,4,250
353,292,7,3,800
354,45,10,2,200
355,244,2,3,1200
356,281,1,1,150
357,174,2,1,250
358,213,9,3,150
359,176,6,5,1200
360,150,6,5,100
361,123,2,5,300
362,95,5,1,200
363,202,4,4,200
364,223,4,4,80
365,22,7,1,1200
366,103,10,4,800
367,15,10,4,200
368,26,8,1,200
369,162,4,4,300
370,215,6,3,150
371,86,7,5,100
372,65,3,5,1200
373,202,7,1,150
374,163,1,1,1200
375,299,10,2,80
376,80,4,5,250
377,88,8,4,800
378,199,9,2,250
379,37,6,5,300
380,32,9,1,200
381,150,10,2,300
382,185,10,3,1200
383,215,10,3,200
384,171,8,4,800
385,116,1,1,250
386,273,1,3,200
387,8,1,3,250
388,205,3,1,80
389,25,9,3,50
390,193,3,1,200
391,184,10,1,200
392,36,7,5,1200
393,17,5,1,100
394,219,6,5,250
395,73,3,3,300
396,133,4,2,150
397,119,9,2,200
398,3,8,4,80
399,194,6,4,300
400,226,1,2,150
401,93,2,5,80
402,164,10,5,100
403,188,6,3,100
404,88,2,2,80
405,115,10,1,200
406,157,1,3,1200
407,235,1,2,200
408,178,6,4,100
409,72,2,1,800
410,207,7,3,150
411,170,10,4,150
412,285,3,1,1200
413,150,5,3,80
414,79,9,5,100
415,165,1,3,50
416,79,10,2,80
417,178,7,4,80
418,108,7,5,50
419,4,6,1,150
420,146,4,3,50
421,71,3,3,100
422,237,5,1,80
423,257,2,4,800
424,159,6,1,300
425,274,4,5,800
426,42,4,1,100
427,87,4,4,50
428,234,9,2,200
429,169,4,4,150
430,123,5,3,800
431,51,6,1,80
432,226,9,1,200
433,71,5,2,100
434,167,4,5,200
435,50,6,2,150
436,268,2,5,80
437,161,3,2,300
438,105,8,2,100
439,42,2,1,250
440,116,10,5,800
441,183,7,4,300
442,199,7,4,200
443,75,8,2,200
444,178,10,5,250
445,125,8,4,50
446,240,6,3,250
447,189,3,4,50
448,288,6,1,80
449,60,3,2,800
450,10,3,5,1200
