id,customer_id,order_date,total_amount,status
1,9,2025-02-13,797,Pending
2,66,2025-01-01,1965,Cancelled
3,13,2025-01-18,1224,Completed
4,50,2025-01-18,1205,Cancelled
5,9,2025-01-07,1980,Pending
6,78,2025-02-03,1214,Completed
7,67,2025-01-22,1049,Cancelled
8,8,2025-01-17,1575,Pending
9,86,2025-02-10,1648,Completed
10,10,2025-02-11,750,Pending
11,92,2025-01-21,812,Cancelled
12,81,2025-02-19,647,Pending
13,75,2025-02-14,655,Pending
14,34,2025-01-21,819,Pending
15,11,2025-01-04,185,Completed
16,96,2025-02-18,1423,Pending
17,8,2025-01-31,414,Pending
18,46,2025-02-20,664,Cancelled
19,95,2025-02-07,413,Pending
20,54,2025-01-27,998,Pending
21,63,2025-01-09,1554,Pending
22,70,2025-01-14,1890,Cancelled
23,95,2025-01-05,1472,Cancelled
24,94,2025-02-09,971,Pending
25,14,2025-01-23,1983,Pending
26,29,2025-02-11,180,Completed
27,78,2025-02-20,1208,Pending
28,76,2025-01-15,883,Completed
29,100,2025-02-09,1548,Completed
30,9,2025-02-08,952,Completed
31,77,2025-01-24,1188,Cancelled
32,1,2025-01-23,939,Cancelled
33,73,2025-01-26,1216,Pending
34,77,2025-02-02,583,Cancelled
35,20,2025-02-05,1489,Completed
36,53,2025-01-30,50,Pending
37,70,2025-02-03,1514,Cancelled
38,87,2025-01-10,984,Cancelled
39,49,2025-01-23,54,Completed
40,69,2025-01-13,1603,Cancelled
41,60,2025-01-06,572,Pending
42,75,2025-01-23,1757,Cancelled
43,50,2025-02-08,1259,Cancelled
44,3,2025-02-02,1571,Completed
45,34,2025-02-06,206,Pending
46,60,2025-02-08,905,Cancelled
47,3,2025-01-23,1790,Pending
48,19,2025-01-07,538,Cancelled
49,38,2025-01-18,1924,Cancelled
50,90,2025-01-21,690,Pending
51,28,2025-02-01,1505,Cancelled
52,83,2025-01-26,727,Cancelled
53,31,2025-01-09,1239,Completed
54,24,2025-02-10,736,Pending
55,19,2025-01-19,893,Pending
56,28,2025-01-28,1214,Cancelled
57,16,2025-02-10,83,Pending
